Training started at 2026-04-01 10:08:07.631039
================================================================================
Episode 299: Reward=-51263602.00, Cost=51263602.00, Length=1000
Episode 300: Reward=-52121191.38, Cost=52121191.38, Length=1000
Episode 301: Reward=-50153874.42, Cost=50153874.42, Length=1000
Episode 302: Reward=-53057285.00, Cost=53057285.00, Length=1000
Episode 303: Reward=-101506397.59, Cost=101506397.59, Length=1000
Episode 304: Reward=-100278090.29, Cost=100278090.29, Length=1000
Episode 305: Reward=-63113369.75, Cost=63113369.75, Length=1000
Episode 306: Reward=-56063209.39, Cost=56063209.39, Length=1000
Episode 307: Reward=-47568894.54, Cost=47568894.54, Length=1000
Episode 308: Reward=-54721865.07, Cost=54721865.07, Length=1000
Episode 309: Reward=-56200574.64, Cost=56200574.64, Length=1000
Episode 310: Reward=-61653276.84, Cost=61653276.84, Length=1000
Episode 311: Reward=-58764754.67, Cost=58764754.67, Length=1000
Episode 312: Reward=-59145603.47, Cost=59145603.47, Length=1000
Episode 313: Reward=-62747297.26, Cost=62747297.26, Length=1000
Episode 314: Reward=-58509400.18, Cost=58509400.18, Length=1000
Episode 315: Reward=-55777489.22, Cost=55777489.22, Length=1000
Episode 316: Reward=-51310607.74, Cost=51310607.74, Length=1000
Episode 317: Reward=-57342743.34, Cost=57342743.34, Length=1000
Episode 318: Reward=-53524051.39, Cost=53524051.39, Length=1000
Episode 319: Reward=-57875468.30, Cost=57875468.30, Length=1000
Episode 320: Reward=-62806733.44, Cost=62806733.44, Length=1000
Episode 321: Reward=-59209067.02, Cost=59209067.02, Length=1000
Episode 322: Reward=-58985845.47, Cost=58985845.47, Length=1000
Episode 323: Reward=-56635187.94, Cost=56635187.94, Length=1000
Episode 324: Reward=-57171613.19, Cost=57171613.19, Length=1000
Episode 325: Reward=-47083610.92, Cost=47083610.92, Length=1000
Episode 326: Reward=-65453897.83, Cost=65453897.83, Length=1000
Episode 327: Reward=-60229596.63, Cost=60229596.63, Length=1000
Episode 328: Reward=-53839416.41, Cost=53839416.41, Length=1000
Episode 329: Reward=-54568590.38, Cost=54568590.38, Length=1000
Episode 330: Reward=-60473326.45, Cost=60473326.45, Length=1000
Episode 331: Reward=-60904586.89, Cost=60904586.89, Length=1000
Episode 332: Reward=-54827047.25, Cost=54827047.25, Length=1000
Episode 333: Reward=-62590161.41, Cost=62590161.41, Length=1000
Episode 334: Reward=-61339374.03, Cost=61339374.03, Length=1000
Episode 335: Reward=-55192401.93, Cost=55192401.93, Length=1000
Episode 336: Reward=-53628482.30, Cost=53628482.30, Length=1000
Episode 337: Reward=-53800961.92, Cost=53800961.92, Length=1000
Episode 338: Reward=-56481160.93, Cost=56481160.93, Length=1000
Episode 339: Reward=-54023895.35, Cost=54023895.35, Length=1000
Episode 340: Reward=-56022491.86, Cost=56022491.86, Length=1000
Episode 341: Reward=-63150684.67, Cost=63150684.67, Length=1000
Episode 342: Reward=-55123644.23, Cost=55123644.23, Length=1000
Episode 343: Reward=-64668815.37, Cost=64668815.37, Length=1000
Episode 344: Reward=-48859700.64, Cost=48859700.64, Length=1000
Episode 345: Reward=-64857738.89, Cost=64857738.89, Length=1000
Episode 346: Reward=-52514673.13, Cost=52514673.13, Length=1000
Episode 347: Reward=-49657467.11, Cost=49657467.11, Length=1000
Episode 348: Reward=-55597894.98, Cost=55597894.98, Length=1000
Episode 349: Reward=-63761730.41, Cost=63761730.41, Length=1000
Episode 350: Reward=-59448369.83, Cost=59448369.83, Length=1000
Episode 351: Reward=-56871225.90, Cost=56871225.90, Length=1000
Episode 352: Reward=-58137311.36, Cost=58137311.36, Length=1000
Episode 353: Reward=-60832544.74, Cost=60832544.74, Length=1000
Episode 354: Reward=-55172631.15, Cost=55172631.15, Length=1000
Episode 355: Reward=-56577243.53, Cost=56577243.53, Length=1000
Episode 356: Reward=-53534002.66, Cost=53534002.66, Length=1000
Episode 357: Reward=-50128552.82, Cost=50128552.82, Length=1000
Episode 358: Reward=-53607198.66, Cost=53607198.66, Length=1000
Episode 359: Reward=-58578985.20, Cost=58578985.20, Length=1000
Episode 360: Reward=-54657136.48, Cost=54657136.48, Length=1000
Episode 361: Reward=-50261442.61, Cost=50261442.61, Length=1000
Episode 362: Reward=-66703224.41, Cost=66703224.41, Length=1000
Episode 363: Reward=-56632291.57, Cost=56632291.57, Length=1000
Episode 364: Reward=-51425447.33, Cost=51425447.33, Length=1000
Episode 365: Reward=-57417215.82, Cost=57417215.82, Length=1000
Episode 366: Reward=-61598326.41, Cost=61598326.41, Length=1000
Episode 367: Reward=-52732466.62, Cost=52732466.62, Length=1000
Episode 368: Reward=-58851446.16, Cost=58851446.16, Length=1000
Episode 369: Reward=-59283387.02, Cost=59283387.02, Length=1000
Episode 370: Reward=-64992852.32, Cost=64992852.32, Length=1000
Episode 371: Reward=-63099188.15, Cost=63099188.15, Length=1000
Episode 372: Reward=-56419533.37, Cost=56419533.37, Length=1000
Episode 373: Reward=-62655623.37, Cost=62655623.37, Length=1000
Episode 374: Reward=-103715674.28, Cost=103715674.28, Length=1000
Episode 375: Reward=-60224853.54, Cost=60224853.54, Length=1000
Episode 376: Reward=-54293905.92, Cost=54293905.92, Length=1000
Episode 377: Reward=-64769870.20, Cost=64769870.20, Length=1000
Episode 378: Reward=-62855018.36, Cost=62855018.36, Length=1000
Episode 379: Reward=-103730767.69, Cost=103730767.69, Length=1000
Episode 380: Reward=-74370650.24, Cost=74370650.24, Length=1000
Episode 381: Reward=-55352109.86, Cost=55352109.86, Length=1000
Episode 382: Reward=-55889988.13, Cost=55889988.13, Length=1000
Episode 383: Reward=-102305193.56, Cost=102305193.56, Length=1000
Episode 384: Reward=-64699824.89, Cost=64699824.89, Length=1000
Episode 385: Reward=-57114183.63, Cost=57114183.63, Length=1000
Episode 386: Reward=-64052221.98, Cost=64052221.98, Length=1000
Episode 387: Reward=-57208027.32, Cost=57208027.32, Length=1000
Episode 388: Reward=-58185766.00, Cost=58185766.00, Length=1000
Episode 389: Reward=-57363719.65, Cost=57363719.65, Length=1000
Episode 390: Reward=-55888072.72, Cost=55888072.72, Length=1000
Episode 391: Reward=-66144132.05, Cost=66144132.05, Length=1000
Episode 392: Reward=-57027148.02, Cost=57027148.02, Length=1000
Episode 393: Reward=-61777956.84, Cost=61777956.84, Length=1000
Episode 394: Reward=-51706103.18, Cost=51706103.18, Length=1000
Episode 395: Reward=-69344698.91, Cost=69344698.91, Length=1000
Episode 396: Reward=-64374991.54, Cost=64374991.54, Length=1000
