Training started at 2026-04-08 23:46:44.493567
================================================================================
Episode 258: Reward=-265.77, Cost=2657660.68, Length=500
Episode 259: Reward=-273.33, Cost=2733261.60, Length=500
Episode 260: Reward=-270.78, Cost=2707799.43, Length=500
Episode 261: Reward=-381.37, Cost=3813665.25, Length=500
Episode 262: Reward=-274.29, Cost=2742908.00, Length=500
Episode 263: Reward=-271.84, Cost=2718358.18, Length=500
Episode 264: Reward=-272.92, Cost=2729214.02, Length=500
Episode 265: Reward=-272.23, Cost=2722250.54, Length=500
Episode 266: Reward=-275.90, Cost=2758955.63, Length=500
Episode 267: Reward=-274.09, Cost=2740924.60, Length=500
Episode 268: Reward=-276.35, Cost=2763491.93, Length=500
Episode 269: Reward=-272.87, Cost=2728704.68, Length=500
Episode 270: Reward=-274.92, Cost=2749212.63, Length=500
Episode 271: Reward=-274.87, Cost=2748724.33, Length=500
Episode 272: Reward=-276.23, Cost=2762251.70, Length=500
Episode 273: Reward=-275.09, Cost=2750863.35, Length=500
Episode 274: Reward=-276.37, Cost=2763695.88, Length=500
Episode 275: Reward=-272.93, Cost=2729346.23, Length=500
Episode 276: Reward=-272.76, Cost=2727589.88, Length=500
Episode 277: Reward=-276.68, Cost=2766751.88, Length=500
Episode 278: Reward=-273.16, Cost=2731627.42, Length=500
Episode 279: Reward=-266.85, Cost=2668500.15, Length=500
Episode 280: Reward=-267.31, Cost=2673110.12, Length=500
Episode 281: Reward=-272.71, Cost=2727127.13, Length=500
Episode 282: Reward=-270.15, Cost=2701487.87, Length=500
Episode 283: Reward=-271.38, Cost=2713821.76, Length=500
Episode 284: Reward=-271.99, Cost=2719881.38, Length=500
Episode 285: Reward=-268.74, Cost=2687404.71, Length=500
Episode 286: Reward=-271.94, Cost=2719380.50, Length=500
Episode 287: Reward=-271.98, Cost=2719823.72, Length=500
Episode 288: Reward=-272.46, Cost=2724591.13, Length=500
Episode 289: Reward=-273.92, Cost=2739157.35, Length=500
Episode 290: Reward=-270.88, Cost=2708758.92, Length=500
Episode 291: Reward=-271.08, Cost=2710769.04, Length=500
Episode 292: Reward=-271.19, Cost=2711939.33, Length=500
Episode 293: Reward=-269.61, Cost=2696096.35, Length=500
Episode 294: Reward=-271.76, Cost=2717592.54, Length=500
Episode 295: Reward=-273.23, Cost=2732282.19, Length=500
Episode 296: Reward=-276.54, Cost=2765444.97, Length=500
Episode 297: Reward=-271.83, Cost=2718289.90, Length=500
Episode 298: Reward=-267.89, Cost=2678915.27, Length=500
Episode 299: Reward=-273.90, Cost=2738950.46, Length=500
Episode 300: Reward=-276.40, Cost=2763979.64, Length=500
Episode 301: Reward=-276.53, Cost=2765298.45, Length=500
Episode 302: Reward=-270.36, Cost=2703646.99, Length=500
Episode 303: Reward=-271.04, Cost=2710408.43, Length=500
Episode 304: Reward=-270.84, Cost=2708394.43, Length=500
Episode 305: Reward=-268.76, Cost=2687620.85, Length=500
Episode 306: Reward=-275.47, Cost=2754745.32, Length=500
Episode 307: Reward=-273.63, Cost=2736315.73, Length=500
Episode 308: Reward=-271.43, Cost=2714348.86, Length=500
Episode 309: Reward=-273.75, Cost=2737534.03, Length=500
Episode 310: Reward=-273.76, Cost=2737602.38, Length=500
Episode 311: Reward=-273.90, Cost=2739049.78, Length=500
Episode 312: Reward=-272.53, Cost=2725264.11, Length=500
Episode 313: Reward=-273.99, Cost=2739942.08, Length=500
Episode 314: Reward=-273.32, Cost=2733172.41, Length=500
Episode 315: Reward=-275.49, Cost=2754927.01, Length=500
Episode 316: Reward=-271.98, Cost=2719773.98, Length=500
